RASSVET-3 1             
1 68360U 26061A   26111.89572089  .00090842  16939-5  33991-3 0  9991
2 68360  82.2954  75.7070 0019278 324.3715  35.6267 15.87467051  4639
RASSVET-3 2             
1 68361U 26061B   26111.92785887  .00119120  39341-5  36706-3 0  9998
2 68361  82.2972  75.5947 0020645 322.2905  37.6919 15.91290425  4640
RASSVET-3 3             
1 68362U 26061C   26111.92674074  .00117266  38119-5  35019-3 0  9991
2 68362  82.2972  75.5926 0019629 321.8074  38.1806 15.91933166  4647
RASSVET-3 4             
1 68363U 26061D   26111.92727627  .00148889  69061-5  43645-3 0  9994
2 68363  82.2978  75.5966 0020310 320.7906  39.1894 15.92278444  4649
RASSVET-3 5             
1 68364U 26061E   26111.42377859 -.01832112  91004-3 -59691-2 0  9997
2 68364  82.2970  76.1652 0019741 323.1056  36.8856 15.90474930  4569
RASSVET-3 6             
1 68365U 26061F   26111.61050249  .00102326  25982-5  31632-3 0  9994
2 68365  82.2978  75.9473 0020185 324.7092  35.2842 15.91235861  4597
RASSVET-3 7             
1 68366U 26061G   26111.86347968  .00111313  32669-5  35099-3 0  9996
2 68366  82.2968  75.6631 0020206 322.5231  37.4631 15.90854439  4637
RASSVET-3 8             
1 68367U 26061H   26111.86300703  .00122642  43010-5  35960-3 0  9999
2 68367  82.2974  75.6631 0019914 320.0153  39.9652 15.92278008  4639
RASSVET-3 9             
1 68368U 26061J   26111.86302097  .00073211  69536-6  28615-3 0  9996
2 68368  82.2966  75.6600 0015992 325.4770  34.5460 15.86657048  4639
RASSVET-3 10            
1 68369U 26061K   26111.92587082  .00120120  40732-5  35376-3 0  9993
2 68369  82.2971  75.5921 0019844 320.1151  39.8663 15.92194492  4646
RASSVET-3 11            
1 68370U 26061L   26111.92523543  .00115781  37019-5  34092-3 0  9992
2 68370  82.2976  75.5911 0019627 319.9767  40.0058 15.92203451  4648
RASSVET-3 12            
1 68371U 26061M   26111.92192784  .00118402  39105-5  35294-3 0  9998
2 68371  82.2984  75.5849 0019551 322.8127  37.1790 15.91971363  4640
RASSVET-3 13            
1 68372U 26061N   26111.92754547 -.00673870  13536-3 -25092-2 0  9999
2 68372  82.2971  75.5932 0017419 321.7946  38.2089 15.87745079  4649
RASSVET-3 14            
1 68373U 26061P   26111.85826762 -.00357119  40489-4 -11396-2 0  9996
2 68373  82.2962  75.6549 0017551 320.1148  39.8833 15.90799205  4636
RASSVET-3 15            
1 68374U 26061Q   26111.92663713  .00078601  97773-6  30231-3 0  9994
2 68374  82.2970  75.5918 0014931 321.2616  38.7583 15.87021766  4643
RASSVET-3 16            
1 68375U 26061R   26111.85787761  .00064985  00000+0  32117-3 0  9992
2 68375  82.2967  75.8157 0015555 332.8501  27.1951 15.81652550  4626
SUPERVIEW NEO-2 OBJECT A
1 68377U 26062A   26111.39313701  .00002031  00000+0  98274-4 0  9994
2 68377  97.4408 119.5053 0002631  43.1102 317.0338 15.19714263  4022
SUPERVIEW NEO-2 OBJECT B
1 68378U 26062B   26110.99806870  .00002195  00000+0  10595-3 0  9994
2 68378  97.4395 119.1221 0001620  87.4083 272.7337 15.19724745  3961
CZ-2D R/B               
1 68379U 26062C   26111.98405118  .00007810  00000+0  24952-3 0  9996
2 68379  97.4976 120.5642 0050246 326.1187  33.6847 15.31502958  4141
STARLINK-36296          
1 68380U 26063A   26110.56376086  .00162144  00000+0  10651-2 0  9995
2 68380  97.2865 252.5730 0001078  95.0668 265.0721 15.75241029  4247
STARLINK-37111          
1 68381U 26063B   26110.37670222  .00135047  00000+0  89157-3 0  9994
2 68381  97.2862 252.2100 0000263  79.9755 280.1540 15.75202088  4201
STARLINK-36946          
1 68382U 26063C   26110.54989794  .00254167  00000+0  12846-2 0  9996
2 68382  97.2846 252.4336 0000514  47.9158 312.2154 15.80896430  4235
STARLINK-37121          
